data,media,pico,fator
2016-07-23,17107.166666666668,21261.0,0.8046266246492012
2016-07-24,16976.083333333332,20510.0,0.8276978709572566
2016-07-25,18568.208333333332,22281.0,0.8333651242463683
2016-07-26,17858.208333333332,21277.0,0.8393198445896194
2016-07-27,17600.625,21131.0,0.832929108892149
2016-07-28,17005.041666666668,19498.0,0.8721428693541219
2016-07-29,16500.875,19838.0,0.8317811775380582
2016-07-30,15327.375,18485.0,0.8291790641060319
2016-07-31,15285.666666666666,18857.0,0.8106096763359318
2016-08-01,17098.166666666668,20933.0,0.8168044077134987
2016-08-02,17280.541666666668,20953.0,0.8247287580139678
2016-08-03,17437.041666666668,20979.0,0.8311664839442617
2016-08-04,17591.0,21245.0,0.828006589785832
2016-08-05,17628.25,21127.0,0.8343943768637289
2016-08-06,16082.833333333334,19043.0,0.8445535542369025
2016-08-07,14840.875,18280.0,0.8118640590809628
2016-08-08,16281.041666666666,19645.0,0.8287626198354119
2016-08-09,17373.208333333332,21458.0,0.8096378196166153
2016-08-10,17981.708333333332,21281.0,0.8449653838322133
2016-08-11,18806.166666666668,22488.0,0.8362756433060596
2016-08-12,18902.25,22295.0,0.8478246243552366
2016-08-13,17298.708333333332,20349.0,0.8501011515717397
2016-08-14,15603.041666666666,17915.0,0.8709484603218903
2016-08-15,16661.541666666668,19760.0,0.8431954284750338
2016-08-16,17048.25,20295.0,0.8400221729490022
2016-08-17,16636.875,19278.0,0.8629979769685652
2016-08-18,16794.5,20343.0,0.8255665339428796
2016-08-19,16751.958333333332,20069.0,0.8347181390868171
2016-08-20,15345.125,18201.0,0.8430924125048074
2016-08-21,14144.375,16283.0,0.8686590308911134
2016-08-22,14906.833333333334,17931.0,0.8313442269440262
2016-08-23,15210.875,18685.0,0.8140687717420391
2016-08-24,15687.083333333334,19291.0,0.8131814490349559
2016-08-25,17875.75,22064.0,0.8101772117476432
2016-08-26,17978.416666666668,21781.0,0.8254174127297492
2016-08-27,16543.958333333332,20362.0,0.8124918148184526
2016-08-28,16205.5,20348.0,0.7964173383133477
2016-08-29,17541.041666666668,21781.0,0.8053368379168389
2016-08-30,17229.916666666668,21304.0,0.8087643947928402
2016-08-31,16957.5,20734.0,0.8178595543551654
2016-09-01,15445.833333333334,17476.0,0.8838311589227131
2016-09-02,14173.541666666666,16107.0,0.8799616108938142
2016-09-03,12735.0,15302.0,0.8322441510913606
2016-09-04,12767.833333333334,16017.0,0.7971426193003268
2016-09-05,13826.333333333334,18234.0,0.7582720924280648
2016-09-06,16849.333333333332,21580.0,0.7807846771702193
2016-09-07,17962.083333333332,22021.0,0.8156797299547401
2016-09-08,17972.041666666668,21185.0,0.8483380536543152
2016-09-09,17062.958333333332,20204.0,0.8445336732000264
2016-09-10,15772.958333333334,19071.0,0.8270650901019
2016-09-11,13426.416666666666,15784.0,0.8506346088866362
2016-09-12,14644.291666666666,17901.0,0.8180711505874905
2016-09-13,15316.375,18972.0,0.8073147269660552
2016-09-14,15178.625,18174.0,0.8351835039066798
2016-09-15,14571.375,17082.0,0.8530251141552512
2016-09-16,14952.083333333334,18265.0,0.8186193995802538
2016-09-17,14351.291666666666,16618.0,0.8635992096923015
2016-09-18,13748.625,16105.0,0.8536867432474387
2016-09-19,15531.625,19027.0,0.8162939507016346
2016-09-20,15651.958333333334,19498.0,0.8027468629261121
2016-09-21,15516.125,19261.0,0.8055721405949847
2016-09-22,15777.333333333334,19674.0,0.801938260309715
2016-09-23,15974.25,19885.0,0.8033316570279105
2016-09-24,14119.916666666666,16642.0,0.8484507070464287
2016-09-25,13223.916666666666,16223.0,0.8151338634449032
2016-09-26,13939.875,15672.0,0.8894764548238897
2016-09-27,13505.0,15195.0,0.8887792036854228
2016-09-28,13319.125,14734.0,0.9039721053346003
2016-09-29,13279.666666666666,14569.0,0.9115015901343034
2016-09-30,13066.291666666666,14240.0,0.9175766619850186
2016-10-01,11768.833333333334,12744.0,0.923480330613099
2016-10-02,11264.0,13059.0,0.8625469025193353
2016-10-03,12952.75,14626.0,0.8855975659783947
2016-10-04,13377.416666666666,15254.0,0.8769776233556226
2016-10-05,13592.416666666666,15551.0,0.8740541872977086
2016-10-06,13827.333333333334,15891.0,0.870136135758186
2016-10-07,13578.833333333334,15391.0,0.8822580295843891
2016-10-08,11828.875,12590.0,0.9395452740270056
2016-10-09,11309.083333333334,13041.0,0.8671944891751655
2016-10-10,12994.666666666666,14415.0,0.90146837784715
2016-10-11,13148.583333333334,14304.0,0.9192242263236391
2016-10-12,13224.625,14521.0,0.910724123682942
